# Calibrator v0.9e
# (by Stefan.Manegold@cwi.nl, http://www.cwi.nl/~manegold/)
000000003 033333.3  008196 000024.0 00006 000105 001.1 003.4  004100 000012.0 00003 000109 001.1 003.5  002052 000006.0 00001 000105 001.1 003.4  001028 000003.0 00000 000105 001.1 003.4
000000004 025000.0  008196 000032.0 00008 000109 001.1 003.5  004100 000016.0 00004 000109 001.1 003.5  002052 000008.0 00002 000109 001.1 003.5  001028 000004.0 00001 000105 001.1 003.4
000000005 020000.0  008196 000040.0 00010 000109 001.1 003.5  004100 000020.0 00005 000109 001.1 003.5  002052 000010.0 00002 000109 001.1 003.5  001028 000005.0 00001 000105 001.1 003.4
000000006 016666.7  008196 000048.0 00012 000105 001.1 003.4  004100 000024.0 00006 000105 001.1 003.4  002052 000012.0 00003 000101 001.0 003.2  001028 000006.0 00001 000105 001.1 003.4
000000008 012500.0  008196 000064.0 00016 000101 001.0 003.2  004100 000032.0 00008 000105 001.1 003.4  002052 000016.0 00004 000105 001.1 003.4  001028 000008.0 00002 000105 001.1 003.4
000000010 010000.0  008196 000080.0 00020 000343 003.4 011.0  004100 000040.0 00010 000359 003.6 011.5  002052 000020.0 00005 000109 001.1 003.5  001028 000010.0 00002 000105 001.1 003.4
000000012 008333.3  008196 000096.0 00024 000343 003.4 011.0  004100 000048.0 00012 000343 003.4 011.0  002052 000024.0 00006 000105 001.1 003.4  001028 000012.0 00003 000105 001.1 003.4
000000016 006250.0  008196 000128.1 00032 000359 003.6 011.5  004100 000064.1 00016 000343 003.4 011.0  002052 000032.1 00008 000105 001.1 003.4  001028 000016.1 00004 000101 001.0 003.2
000000020 005000.0  008196 000160.1 00040 000296 003.0 009.5  004100 000080.1 00020 000296 003.0 009.5  002052 000040.1 00010 000109 001.1 003.5  001028 000020.1 00005 000101 001.0 003.2
000000024 004166.7  008196 000192.1 00048 000273 002.7 008.7  004100 000096.1 00024 000273 002.7 008.7  002052 000048.1 00012 000109 001.1 003.5  001028 000024.1 00006 000101 001.0 003.2
000000032 003125.0  008196 000256.1 00064 000328 003.3 010.5  004100 000128.1 00032 000343 003.4 011.0  002052 000064.1 00016 000105 001.1 003.4  001028 000032.1 00008 000105 001.1 003.4
000000040 002500.0  008196 000320.2 00080 000289 002.9 009.2  004100 000160.2 00040 000289 002.9 009.2  002052 000080.2 00020 000109 001.1 003.5  001028 000040.2 00010 000113 001.1 003.6
000000048 002083.3  008196 000384.2 00096 000343 003.4 011.0  004100 000192.2 00048 000375 003.8 012.0  002052 000096.2 00024 000117 001.2 003.7  001028 000048.2 00012 000113 001.1 003.6
000000064 001562.5  008196 000512.3 00128 000421 004.2 013.5  004100 000256.3 00064 000437 004.4 014.0  002052 000128.3 00032 000113 001.1 003.6  001028 000064.3 00016 000109 001.1 003.5
000000080 001250.0  008196 000640.3 00160 000578 005.8 018.5  004100 000320.3 00080 000531 005.3 017.0  002052 000160.3 00040 000105 001.1 003.4  001028 000080.3 00020 000113 001.1 003.6
000000096 001041.7  008196 000768.4 00192 000578 005.8 018.5  004100 000384.4 00096 000578 005.8 018.5  002052 000192.4 00048 000117 001.2 003.7  001028 000096.4 00024 000109 001.1 003.5
000000128 000781.3  008196 001024.5 00256 000546 005.5 017.5  004100 000512.5 00128 000546 005.5 017.5  002052 000256.5 00064 000113 001.1 003.6  001028 000128.5 00032 000117 001.2 003.7
000000160 000625.0  008196 001280.6 00320 000578 005.8 018.5  004100 000640.6 00160 000578 005.8 018.5  002052 000320.6 00080 000218 002.2 007.0  001028 000160.6 00040 000105 001.1 003.4
000000192 000520.8  008196 001536.8 00384 000562 005.6 018.0  004100 000768.8 00192 000546 005.5 017.5  002052 000384.8 00096 000218 002.2 007.0  001028 000192.8 00048 000101 001.0 003.2
000000256 000390.6  008196 002049.0 00512 000515 005.2 016.5  004100 001025.0 00256 000531 005.3 017.0  002052 000513.0 00128 000210 002.1 006.7  001028 000257.0 00064 000113 001.1 003.6
000000320 000312.5  008196 002561.3 00640 000531 005.3 017.0  004100 001281.3 00320 000531 005.3 017.0  002052 000641.3 00160 000210 002.1 006.7  001028 000321.3 00080 000156 001.6 005.0
000000384 000260.4  008196 003073.5 00768 000515 005.2 016.5  004100 001537.5 00384 000531 005.3 017.0  002052 000769.5 00192 000210 002.1 006.7  001028 000385.5 00096 000164 001.6 005.2
000000512 000195.3  008196 004098.0 01024 000531 005.3 017.0  004100 002050.0 00512 000531 005.3 017.0  002052 001026.0 00256 000203 002.0 006.5  001028 000514.0 00128 000164 001.6 005.2
000000640 000156.3  008196 005122.5 01280 000687 006.9 022.0  004100 002562.5 00640 000531 005.3 017.0  002052 001282.5 00320 000296 003.0 009.5  001028 000642.5 00160 000289 002.9 009.2
000000768 000130.2  008196 006147.0 01536 000843 008.4 027.0  004100 003075.0 00768 000515 005.2 016.5  002052 001539.0 00384 000359 003.6 011.5  001028 000771.0 00192 000375 003.8 012.0
000001024 000097.7  008196 008196.0 02049 001062 010.6 034.0  004100 004100.0 01025 000531 005.3 017.0  002052 002052.0 00513 000421 004.2 013.5  001028 001028.0 00257 000375 003.8 012.0
000001280 000078.1  008196 010245.0 02561 001031 010.3 033.0  004100 005125.0 01281 000718 007.2 023.0  002052 002565.0 00641 000468 004.7 015.0  001028 001285.0 00321 000406 004.1 013.0
000001536 000065.1  008196 012294.0 03073 000937 009.4 030.0  004100 006150.0 01537 000937 009.4 030.0  002052 003078.0 00769 000453 004.5 014.5  001028 001542.0 00385 000390 003.9 012.5
000002048 000048.8  008196 016392.0 04098 001250 012.5 040.0  004100 008200.0 02050 001218 012.2 039.0  002052 004104.0 01026 000484 004.8 015.5  001028 002056.0 00514 000406 004.1 013.0
000002560 000039.1  008196 020490.0 05122 001625 016.3 052.0  004100 010250.0 02562 001562 015.6 050.0  002052 005130.0 01282 000468 004.7 015.0  001028 002570.0 00642 000546 005.5 017.5
000003072 000032.6  008196 024588.0 06147 001562 015.6 050.0  004100 012300.0 03075 001562 015.6 050.0  002052 006156.0 01539 000625 006.3 020.0  001028 003084.0 00771 000656 006.6 021.0
000004096 000024.4  008196 032784.0 08196 001687 016.9 054.0  004100 016400.0 04100 001562 015.6 050.0  002052 008208.0 02052 000781 007.8 025.0  001028 004112.0 01028 000750 007.5 024.0
