# Calibrator v0.9e
# (by Stefan.Manegold@cwi.nl, http://www.cwi.nl/~manegold/)
000000.8 00000  008 000000096 001041.7 002812 028.1 090.0  004 000000192 000520.8 002734 027.3 087.5
000001.0 00000  008 000000128 000781.3 002656 026.6 085.0  004 000000256 000390.6 002812 028.1 090.0
000001.3 00000  008 000000160 000625.0 002734 027.3 087.5  004 000000320 000312.5 002812 028.1 090.0
000001.5 00000  008 000000192 000520.8 002812 028.1 090.0  004 000000384 000260.4 002734 027.3 087.5
000002.0 00000  008 000000256 000390.6 002734 027.3 087.5  004 000000512 000195.3 002734 027.3 087.5
000002.5 00000  008 000000320 000312.5 002812 028.1 090.0  004 000000640 000156.3 002734 027.3 087.5
000003.0 00000  008 000000384 000260.4 002734 027.3 087.5  004 000000768 000130.2 002734 027.3 087.5
000004.0 00001  008 000000512 000195.3 002734 027.3 087.5  004 000001024 000097.7 002734 027.3 087.5
000005.0 00001  008 000000640 000156.3 002656 026.6 085.0  004 000001280 000078.1 002812 028.1 090.0
000006.0 00001  008 000000768 000130.2 002734 027.3 087.5  004 000001536 000065.1 002812 028.1 090.0
000008.0 00002  008 000001024 000097.7 002734 027.3 087.5  004 000002048 000048.8 002656 026.6 085.0
000010.0 00002  008 000001280 000078.1 002812 028.1 090.0  004 000002560 000039.1 002656 026.6 085.0
000012.0 00003  008 000001536 000065.1 002734 027.3 087.5  004 000003072 000032.6 002734 027.3 087.5
000016.0 00004  008 000002048 000048.8 002734 027.3 087.5  004 000004096 000024.4 002734 027.3 087.5
000020.0 00005  008 000002560 000039.1 002734 027.3 087.5  004 000005120 000019.5 002812 028.1 090.0
000024.0 00006  008 000003072 000032.6 002734 027.3 087.5  004 000006144 000016.3 002734 027.3 087.5
000032.0 00008  008 000004096 000024.4 002734 027.3 087.5  004 000008192 000012.2 002734 027.3 087.5
000040.0 00010  008 000005120 000019.5 002734 027.3 087.5  004 000010240 000009.8 002656 026.6 085.0
000048.0 00012  008 000006144 000016.3 002734 027.3 087.5  004 000012288 000008.1 002734 027.3 087.5
000064.0 00016  008 000008192 000012.2 002734 027.3 087.5  004 000016384 000006.1 002734 027.3 087.5
000080.0 00020  008 000010240 000009.8 002734 027.3 087.5  004 000020480 000004.9 002812 028.1 090.0
000096.0 00024  008 000012288 000008.1 002734 027.3 087.5  004 000024576 000004.1 002734 027.3 087.5
000128.0 00032  008 000016384 000006.1 002734 027.3 087.5  004 000032768 000003.1 002734 027.3 087.5
000160.0 00040  008 000020480 000004.9 002734 027.3 087.5  004 000040960 000002.4 002812 028.1 090.0
000192.0 00048  008 000024576 000004.1 002812 028.1 090.0  004 000049152 000002.0 002734 027.3 087.5
000256.0 00064  008 000032768 000003.1 002812 028.1 090.0  004 000065536 000001.5 002812 028.1 090.0
000320.0 00080  008 000040960 000002.4 002734 027.3 087.5  004 000081920 000001.2 002734 027.3 087.5
000384.0 00096  008 000049152 000002.0 002734 027.3 087.5  004 000098304 000001.0 002734 027.3 087.5
000512.0 00128  008 000065536 000001.5 002734 027.3 087.5  004 000131072 000000.8 002734 027.3 087.5
000640.0 00160  008 000081920 000001.2 002734 027.3 087.5  004 000163840 000000.6 002812 028.1 090.0
000768.0 00192  008 000098304 000001.0 002812 028.1 090.0  004 000196608 000000.5 002812 028.1 090.0
001024.0 00256  008 000131072 000000.8 002812 028.1 090.0  004 000262144 000000.4 002812 028.1 090.0
001280.0 00320  008 000163840 000000.6 002734 027.3 087.5  004 000327680 000000.3 002734 027.3 087.5
001536.0 00384  008 000196608 000000.5 002812 028.1 090.0  004 000393216 000000.3 002734 027.3 087.5
002048.0 00512  008 000262144 000000.4 002656 026.6 085.0  004 000524288 000000.2 002734 027.3 087.5
002560.0 00640  008 000327680 000000.3 002734 027.3 087.5  004 000655360 000000.2 002734 027.3 087.5
003072.0 00768  008 000393216 000000.3 002812 028.1 090.0  004 000786432 000000.1 002812 028.1 090.0
004096.0 01024  008 000524288 000000.2 002734 027.3 087.5  004 001048576 000000.1 002734 027.3 087.5
005120.0 01280  008 000655360 000000.2 002812 028.1 090.0  004 001310720 000000.1 002734 027.3 087.5
006144.0 01536  008 000786432 000000.1 002734 027.3 087.5  004 001572864 000000.1 002734 027.3 087.5
008192.0 02048  008 001048576 000000.1 002812 028.1 090.0  004 002097152 000000.0 002890 028.9 092.5
010240.0 02560  008 001310720 000000.1 002890 028.9 092.5  004 002621440 000000.0 002890 028.9 092.5
012288.0 03072  008 001572864 000000.1 002812 028.1 090.0  004 003145728 000000.0 002812 028.1 090.0
016384.0 04096  008 002097152 000000.0 002734 027.3 087.5  004 004194304 000000.0 002656 026.6 085.0
020480.0 05120  008 002621440 000000.0 002734 027.3 087.5  004 005242880 000000.0 002812 028.1 090.0
024576.0 06144  008 003145728 000000.0 002812 028.1 090.0  004 006291456 000000.0 002734 027.3 087.5
032768.0 08192  008 004194304 000000.0 002734 027.3 087.5  004 008388608 000000.0 002812 028.1 090.0
040960.0 10240  008 005242880 000000.0 002734 027.3 087.5  004 010485760 000000.0 002734 027.3 087.5
049152.0 12288  008 006291456 000000.0 002812 028.1 090.0  004 012582912 000000.0 002656 026.6 085.0
065536.0 16384  008 008388608 000000.0 002812 028.1 090.0  004 016777216 000000.0 002734 027.3 087.5
081920.0 20480  008 010485760 000000.0 002734 027.3 087.5  004 020971520 000000.0 002734 027.3 087.5
098304.0 24576  008 012582912 000000.0 002734 027.3 087.5  004 025165824 000000.0 002734 027.3 087.5
131072.0 32768  008 016777216 000000.0 002968 029.7 095.0  004 033554432 000000.0 002734 027.3 087.5
163840.0 40960  008 020971520 000000.0 002890 028.9 092.5  004 041943040 000000.0 003046 030.5 097.5
196608.0 49152  008 025165824 000000.0 002812 028.1 090.0  004 050331648 000000.0 002812 028.1 090.0
262144.0 65536  008 033554432 000000.0 002734 027.3 087.5  004 067108864 000000.0 002812 028.1 090.0
327680.0 81920  008 041943040 000000.0 002734 027.3 087.5  004 083886080 000000.0 002734 027.3 087.5
393216.0 98304  008 050331648 000000.0 002656 026.6 085.0  004 100663296 000000.0 002812 028.1 090.0
524288.0 131072  008 067108864 000000.0 002734 027.3 087.5  004 134217728 000000.0 002812 028.1 090.0
