# Calibrator v0.9e
# (by Stefan.Manegold@cwi.nl, http://www.cwi.nl/~manegold/)
000000.8 00000  008 000000096 001041.7 000109 001.1 003.5  004 000000192 000520.8 000109 001.1 003.5
000001.0 00000  008 000000128 000781.3 000109 001.1 003.5  004 000000256 000390.6 000109 001.1 003.5
000001.3 00000  008 000000160 000625.0 000105 001.1 003.4  004 000000320 000312.5 000105 001.1 003.4
000001.5 00000  008 000000192 000520.8 000101 001.0 003.2  004 000000384 000260.4 000105 001.1 003.4
000002.0 00000  008 000000256 000390.6 000105 001.1 003.4  004 000000512 000195.3 000101 001.0 003.2
000002.5 00000  008 000000320 000312.5 000105 001.1 003.4  004 000000640 000156.3 000109 001.1 003.5
000003.0 00000  008 000000384 000260.4 000105 001.1 003.4  004 000000768 000130.2 000105 001.1 003.4
000004.0 00001  008 000000512 000195.3 000109 001.1 003.5  004 000001024 000097.7 000105 001.1 003.4
000005.0 00001  008 000000640 000156.3 000105 001.1 003.4  004 000001280 000078.1 000101 001.0 003.2
000006.0 00001  008 000000768 000130.2 000109 001.1 003.5  004 000001536 000065.1 000101 001.0 003.2
000008.0 00002  008 000001024 000097.7 000105 001.1 003.4  004 000002048 000048.8 000101 001.0 003.2
000010.0 00002  008 000001280 000078.1 000101 001.0 003.2  004 000002560 000039.1 000109 001.1 003.5
000012.0 00003  008 000001536 000065.1 000105 001.1 003.4  004 000003072 000032.6 000109 001.1 003.5
000016.0 00004  008 000002048 000048.8 000105 001.1 003.4  004 000004096 000024.4 000105 001.1 003.4
000020.0 00005  008 000002560 000039.1 000105 001.1 003.4  004 000005120 000019.5 000105 001.1 003.4
000024.0 00006  008 000003072 000032.6 000109 001.1 003.5  004 000006144 000016.3 000105 001.1 003.4
000032.0 00008  008 000004096 000024.4 000109 001.1 003.5  004 000008192 000012.2 000105 001.1 003.4
000040.0 00010  008 000005120 000019.5 000105 001.1 003.4  004 000010240 000009.8 000101 001.0 003.2
000048.0 00012  008 000006144 000016.3 000109 001.1 003.5  004 000012288 000008.1 000109 001.1 003.5
000064.0 00016  008 000008192 000012.2 000105 001.1 003.4  004 000016384 000006.1 000105 001.1 003.4
000080.0 00020  008 000010240 000009.8 000105 001.1 003.4  004 000020480 000004.9 000105 001.1 003.4
000096.0 00024  008 000012288 000008.1 000109 001.1 003.5  004 000024576 000004.1 000105 001.1 003.4
000128.0 00032  008 000016384 000006.1 000105 001.1 003.4  004 000032768 000003.1 000105 001.1 003.4
000160.0 00040  008 000020480 000004.9 000105 001.1 003.4  004 000040960 000002.4 000105 001.1 003.4
000192.0 00048  008 000024576 000004.1 000105 001.1 003.4  004 000049152 000002.0 000105 001.1 003.4
000256.0 00064  008 000032768 000003.1 000105 001.1 003.4  004 000065536 000001.5 000109 001.1 003.5
000320.0 00080  008 000040960 000002.4 000109 001.1 003.5  004 000081920 000001.2 000109 001.1 003.5
000384.0 00096  008 000049152 000002.0 000109 001.1 003.5  004 000098304 000001.0 000109 001.1 003.5
000512.0 00128  008 000065536 000001.5 000105 001.1 003.4  004 000131072 000000.8 000105 001.1 003.4
000640.0 00160  008 000081920 000001.2 000105 001.1 003.4  004 000163840 000000.6 000101 001.0 003.2
000768.0 00192  008 000098304 000001.0 000105 001.1 003.4  004 000196608 000000.5 000105 001.1 003.4
001024.0 00256  008 000131072 000000.8 000105 001.1 003.4  004 000262144 000000.4 000101 001.0 003.2
001280.0 00320  008 000163840 000000.6 000101 001.0 003.2  004 000327680 000000.3 000105 001.1 003.4
001536.0 00384  008 000196608 000000.5 000105 001.1 003.4  004 000393216 000000.3 000101 001.0 003.2
002048.0 00512  008 000262144 000000.4 000105 001.1 003.4  004 000524288 000000.2 000105 001.1 003.4
002560.0 00640  008 000327680 000000.3 000109 001.1 003.5  004 000655360 000000.2 000109 001.1 003.5
003072.0 00768  008 000393216 000000.3 000109 001.1 003.5  004 000786432 000000.1 000101 001.0 003.2
004096.0 01024  008 000524288 000000.2 000105 001.1 003.4  004 001048576 000000.1 000109 001.1 003.5
005120.0 01280  008 000655360 000000.2 000105 001.1 003.4  004 001310720 000000.1 000105 001.1 003.4
006144.0 01536  008 000786432 000000.1 000105 001.1 003.4  004 001572864 000000.1 000105 001.1 003.4
008192.0 02048  008 001048576 000000.1 000109 001.1 003.5  004 002097152 000000.0 000109 001.1 003.5
010240.0 02560  008 001310720 000000.1 000105 001.1 003.4  004 002621440 000000.0 000105 001.1 003.4
012288.0 03072  008 001572864 000000.1 000109 001.1 003.5  004 003145728 000000.0 000109 001.1 003.5
016384.0 04096  008 002097152 000000.0 000113 001.1 003.6  004 004194304 000000.0 000113 001.1 003.6
020480.0 05120  008 002621440 000000.0 000105 001.1 003.4  004 005242880 000000.0 000105 001.1 003.4
024576.0 06144  008 003145728 000000.0 000109 001.1 003.5  004 006291456 000000.0 000105 001.1 003.4
032768.0 08192  008 004194304 000000.0 000105 001.1 003.4  004 008388608 000000.0 000105 001.1 003.4
040960.0 10240  008 005242880 000000.0 000105 001.1 003.4  004 010485760 000000.0 000101 001.0 003.2
049152.0 12288  008 006291456 000000.0 000109 001.1 003.5  004 012582912 000000.0 000101 001.0 003.2
065536.0 16384  008 008388608 000000.0 000105 001.1 003.4  004 016777216 000000.0 000105 001.1 003.4
081920.0 20480  008 010485760 000000.0 000105 001.1 003.4  004 020971520 000000.0 000105 001.1 003.4
098304.0 24576  008 012582912 000000.0 000109 001.1 003.5  004 025165824 000000.0 000109 001.1 003.5
131072.0 32768  008 016777216 000000.0 000105 001.1 003.4  004 033554432 000000.0 000105 001.1 003.4
163840.0 40960  008 020971520 000000.0 000105 001.1 003.4  004 041943040 000000.0 000101 001.0 003.2
196608.0 49152  008 025165824 000000.0 000109 001.1 003.5  004 050331648 000000.0 000109 001.1 003.5
262144.0 65536  008 033554432 000000.0 000113 001.1 003.6  004 067108864 000000.0 000105 001.1 003.4
327680.0 81920  008 041943040 000000.0 000101 001.0 003.2  004 083886080 000000.0 000105 001.1 003.4
393216.0 98304  008 050331648 000000.0 000105 001.1 003.4  004 100663296 000000.0 000105 001.1 003.4
524288.0 131072  008 067108864 000000.0 000105 001.1 003.4  004 134217728 000000.0 000105 001.1 003.4
