forward bypass
1 6 
17 6 
33 7 
49 7 
65 7 
81 7 
97 7 
113 4 
129 4 
145 4 
161 4 
177 4 
193 4 
209 4 
225 4 
241 4 
257 4 
289 4 
321 4 
353 4 
385 4 
417 4 
449 4 
481 4 
513 4 
545 4 
577 4 
609 4 
641 4 
673 4 
705 4 
737 4 
769 4 
801 4 
833 4 
865 4 
897 4 
929 4 
961 4 
993 4 
1025 4 
1057 4 
1089 4 
1121 4 
1153 4 
1185 4 
1217 4 
1249 4 
1281 4 
1313 4 
1345 4 
1377 4 
1409 4 
1441 4 
1473 4 
1505 4 
1537 4 
1569 4 
1601 4 
1633 4 
1665 4 
1697 4 
1729 4 
1761 4 
1793 4 
1825 4 
1857 4 
1889 4 
1921 4 
1953 4 
1985 4 
2017 4 
2049 4 
2561 4 
3073 4 
3585 4 
4097 4 
4609 4 
5121 4 
5633 4 
6145 4 
6657 4 
7169 4 
7681 4 
8193 4 
8705 4 
9217 4 
9729 4 
10241 4 
10753 4 
11265 4 
11777 3 
12289 3 
12801 3 
13313 3 
13825 3 
14337 3 
14849 3 
15361 4 
15873 4 
16385 4 
16897 4 
17409 4 
17921 4 
18433 4 
18945 4 
19457 4 
19969 4 
20481 4 
20993 4 
21505 4 
22017 4 
22529 4 
23041 4 
23553 4 
24065 4 
24577 4 
25089 4 
25601 4 
26113 4 
26625 4 
27137 4 
27649 4 
28161 4 
28673 4 
29185 4 
29697 4 
30209 4 
30721 4 
31233 4 
31745 4 
32257 4 

backward bypass
1 3 
17 3 
33 3 
49 3 
65 3 
81 3 
97 3 
113 3 
129 3 
145 3 
161 3 
177 3 
193 3 
209 3 
225 3 
241 3 
257 3 
289 3 
321 3 
353 3 
385 3 
417 3 
449 3 
481 3 
513 3 
545 3 
577 3 
609 3 
641 3 
673 3 
705 3 
737 3 
769 3 
801 3 
833 3 
865 3 
897 3 
929 3 
961 3 
993 3 
1025 3 
1057 3 
1089 3 
1121 3 
1153 3 
1185 3 
1217 3 
1249 3 
1281 3 
1313 3 
1345 3 
1377 3 
1409 3 
1441 3 
1473 3 
1505 3 
1537 3 
1569 3 
1601 3 
1633 3 
1665 3 
1697 3 
1729 3 
1761 3 
1793 3 
1825 3 
1857 3 
1889 3 
1921 3 
1953 3 
1985 3 
2017 3 
2049 3 
2561 3 
3073 3 
3585 3 
4097 3 
4609 3 
5121 3 
5633 3 
6145 3 
6657 3 
7169 3 
7681 3 
8193 3 
8705 3 
9217 3 
9729 3 
10241 3 
10753 3 
11265 3 
11777 3 
12289 3 
12801 3 
13313 3 
13825 3 
14337 3 
14849 4 
15361 4 
15873 4 
16385 4 
16897 4 
17409 4 
17921 4 
18433 4 
18945 4 
19457 4 
19969 4 
20481 4 
20993 4 
21505 4 
22017 4 
22529 4 
23041 4 
23553 4 
24065 4 
24577 4 
25089 4 
25601 4 
26113 4 
26625 4 
27137 4 
27649 4 
28161 4 
28673 4 
29185 4 
29697 4 
30209 4 
30721 4 
31233 4 
31745 4 
32257 4 

random bypass
1 3 
17 4 
33 3 
49 5 
65 6 
81 7 
97 7 
113 7 
129 7 
145 9 
161 9 
177 9 
193 9 
209 9 
225 9 
241 10 
257 11 
289 15 
321 18 
353 20 
385 22 
417 25 
449 27 
481 28 
513 29 
545 30 
577 32 
609 32 
641 33 
673 34 
705 34 
737 35 
769 36 
801 36 
833 37 
865 37 
897 37 
929 38 
961 38 
993 38 
1025 39 
1057 39 
1089 39 
1121 40 
1153 40 
1185 40 
1217 40 
1249 40 
1281 41 
1313 41 
1345 41 
1377 41 
1409 41 
1441 41 
1473 42 
1505 42 
1537 42 
1569 42 
1601 42 
1633 42 
1665 42 
1697 42 
1729 43 
1761 43 
1793 43 
1825 43 
1857 43 
1889 43 
1921 43 
1953 43 
1985 43 
2017 43 
2049 44 
2561 46 
3073 48 
3585 50 
4097 50 
4609 51 
5121 52 
5633 52 
6145 53 
6657 54 
7169 56 
7681 56 
8193 57 
8705 58 
9217 60 
9729 62 
10241 64 
10753 73 
11265 68 
11777 71 
12289 78 
12801 79 
13313 84 
13825 86 
14337 96 
14849 99 
15361 112 
15873 119 
16385 114 
16897 115 
17409 114 
17921 118 
18433 120 
18945 122 
19457 126 
19969 127 
20481 131 
20993 132 
21505 134 
22017 138 
22529 139 
23041 141 
23553 143 
24065 144 
24577 145 
25089 147 
25601 149 
26113 151 
26625 152 
27137 158 
27649 160 
28161 156 
28673 157 
29185 162 
29697 159 
30209 162 
30721 162 
31233 162 
31745 163 
32257 164 
